1788513658.145228395	legA	train	322317	36	2654396
1788513658.145228395	legA	train	323223	36	2647100
1788513658.145228395	legA	selfplay	323745	2	836056
1788513658.401156182	legA	train	317109	36	2516652
1788513658.401156182	legA	train	322317	36	2654396
1788513658.401156182	legA	train	323223	36	2647100
1788513658.659629590	cycle1	train	317109	36	2516652
1788513658.659629590	cycle1	train	322317	36	2654396
1788513658.659629590	cycle1	train	323223	36	2647100
1788513658.914461087	cycle1	train	317109	36	2516652
1788513658.914461087	cycle1	train	322317	36	2654396
1788513658.914461087	cycle1	train	323223	36	2647100
1788513659.173524588	cycle1	train	317109	36	2516652
1788513659.173524588	cycle1	train	322317	36	2654396
1788513659.173524588	cycle1	train	323223	36	2647100
1788513659.173524588	cycle1	train	324287	1	2048
1788513659.428451360	cycle1	train	317109	36	2516652
1788513659.428451360	cycle1	train	322317	36	2654396
1788513659.428451360	cycle1	train	323223	36	2647100
1788513659.684099728	cycle1	train	317109	36	2516652
1788513659.684099728	cycle1	train	322317	36	2654396
1788513659.684099728	cycle1	train	323223	36	2647100
1788513659.940513626	cycle1	train	317109	36	2516652
1788513659.940513626	cycle1	train	322317	36	2654396
1788513659.940513626	cycle1	train	323223	36	2647100
1788513660.194521539	cycle1	train	317109	36	2516652
1788513660.194521539	cycle1	train	322317	36	2654396
1788513660.194521539	cycle1	train	323223	36	2647100
1788513660.449273866	cycle1	train	317109	36	2516652
1788513660.449273866	cycle1	train	322317	36	2654396
1788513660.449273866	cycle1	train	323223	36	2647100
1788513660.706107731	cycle1	train	317109	36	2516652
1788513660.706107731	cycle1	train	322317	36	2654396
1788513660.706107731	cycle1	train	323223	36	2647100
1788513660.962178907	cycle1	train	317109	36	2516652
1788513660.962178907	cycle1	train	322317	36	2654396
1788513660.962178907	cycle1	train	323223	36	2647100
1788513660.962178907	cycle1	gatekeeper	324381	2	219868
1788513661.226746831	cycle1	train	317109	36	2516652
1788513661.226746831	cycle1	train	322317	36	2654396
1788513661.226746831	cycle1	train	323223	36	2647100
1788513661.226746831	cycle1	gatekeeper	324381	2	221916
1788513661.481218659	cycle1	train	317109	36	2516652
1788513661.481218659	cycle1	train	322317	36	2654396
1788513661.481218659	cycle1	train	323223	36	2647100
1788513661.481218659	cycle1	gatekeeper	324381	2	221916
1788513661.735070267	cycle1	train	317109	36	2516652
1788513661.735070267	cycle1	train	322317	36	2654396
1788513661.735070267	cycle1	train	323223	36	2647100
1788513661.735070267	cycle1	selfplay	324406	1	119576
1788513661.995431928	cycle1	train	317109	36	2516652
1788513661.995431928	cycle1	train	322317	36	2654396
1788513661.995431928	cycle1	train	323223	36	2647100
1788513661.995431928	cycle1	selfplay	324406	22	578748
1788513662.263390649	cycle1	train	317109	36	2516652
1788513662.263390649	cycle1	train	322317	36	2654396
1788513662.263390649	cycle1	train	323223	36	2647100
1788513662.263390649	cycle1	selfplay	324406	22	662716
1788513662.520572446	cycle1	train	317109	36	2516652
1788513662.520572446	cycle1	train	322317	36	2654396
1788513662.520572446	cycle1	train	323223	36	2647100
1788513662.520572446	cycle1	selfplay	324406	22	745660
1788513662.787963161	cycle1	train	317109	36	2516652
1788513662.787963161	cycle1	train	322317	36	2654396
1788513662.787963161	cycle1	train	323223	36	2647100
1788513662.787963161	cycle1	selfplay	324406	22	824652
1788513663.056048086	cycle1	train	317109	36	2516652
1788513663.056048086	cycle1	train	322317	36	2654396
1788513663.056048086	cycle1	train	323223	36	2647100
1788513663.056048086	cycle1	selfplay	324406	22	896332
1788513663.321598010	cycle1	train	317109	36	2516652
1788513663.321598010	cycle1	train	322317	36	2654396
1788513663.321598010	cycle1	train	323223	36	2647100
1788513663.321598010	cycle1	selfplay	324406	22	964644
1788513663.579710972	cycle1	train	317109	36	2516652
1788513663.579710972	cycle1	train	322317	36	2654396
1788513663.579710972	cycle1	train	323223	36	2647100
1788513663.579710972	cycle1	selfplay	324406	22	1019584
1788513663.843495001	cycle1	train	317109	36	2516652
1788513663.843495001	cycle1	train	322317	36	2654396
1788513663.843495001	cycle1	train	323223	36	2647100
1788513663.843495001	cycle1	selfplay	324406	22	1097812
1788513664.101547180	cycle1	train	317109	36	2516652
1788513664.101547180	cycle1	train	322317	36	2654396
1788513664.101547180	cycle1	train	323223	36	2647100
1788513664.101547180	cycle1	selfplay	324406	22	1160584
